sample_id,site,treatment,position,replicate,date.coll,region
1,RR1,CV,B,1,20190917,RR
2,RR1,CV,B,2,20190917,RR
3,RR1,CV,B,3,20190917,RR
4,RR1,SH,B,1,20190917,RR
5,RR1,SH,B,2,20190917,RR
6,RR1,SH,B,3,20190917,RR
7,RR1,CC,B,1,20190917,RR
8,RR1,CC,B,2,20190917,RR
9,RR1,CC,B,3,20190917,RR
10,RR1,UD,B,1,20190917,RR
11,RR1,UD,B,2,20190917,RR
12,RR1,UD,B,3,20190917,RR
13,RR3,CV,A,1,20190917,RR
14,RR3,CV,A,2,20190917,RR
15,RR3,CV,A,3,20190917,RR
16,RR3,CV,B,1,20190917,RR
17,RR3,CV,B,2,20190917,RR
18,RR3,CV,B,3,20190917,RR
19,RR3,UD,A,1,20190917,RR
20,RR3,UD,A,2,20190917,RR
21,RR3,UD,A,3,20190917,RR
22,RR3,SH,A,1,20190917,RR
23,RR3,SH,A,2,20190917,RR
24,RR3,SH,A,3,20190917,RR
25,RR3,SH,B,1,20190917,RR
26,RR3,SH,B,2,20190917,RR
27,RR3,SH,B,3,20190917,RR
28,ST2,CV,A,1,20191010,ST
29,ST2,CV,A,2,20191010,ST
30,ST2,CV,A,3,20191010,ST
31,ST2,SH,A,1,20191010,ST
32,ST2,SH,A,2,20191010,ST
33,ST2,SH,A,3,20191010,ST
34,ST2,UD,A,1,20191010,ST
35,ST2,UD,A,2,20191010,ST
36,ST2,UD,A,3,20191010,ST
37,ST2,CV,B,1,20191010,ST
38,ST2,CV,B,2,20191010,ST
39,ST2,CV,B,3,20191010,ST
40,ST2,SH,B,1,20191010,ST
41,ST2,SH,B,2,20191010,ST
42,ST2,SH,B,3,20191010,ST
43,ST3,CV,A,1,20191010,ST
44,ST3,CV,A,2,20191010,ST
45,ST3,CV,A,3,20191010,ST
46,ST3,SH,A,1,20191010,ST
47,ST3,SH,A,2,20191010,ST
48,ST3,SH,A,3,20191010,ST
49,ST3,UD,A,1,20191010,ST
50,ST3,UD,A,2,20191010,ST
51,ST3,UD,A,3,20191010,ST
52,ST3,CV,B,1,20191010,ST
53,ST3,CV,B,2,20191010,ST
54,ST3,CV,B,3,20191010,ST
55,ST3,SH,B,1,20191010,ST
56,ST3,SH,B,2,20191010,ST
57,ST3,SH,B,3,20191010,ST
58,SW1,CV,A,1,20191019,SW
59,SW1,CV,A,2,20191019,SW
60,SW1,CV,A,3,20191019,SW
61,SW1,SH,A,1,20191019,SW
62,SW1,SH,A,2,20191019,SW
63,SW1,SH,A,3,20191019,SW
64,SW1,UD,A,1,20191019,SW
65,SW1,UD,A,2,20191019,SW
66,SW1,UD,A,3,20191019,SW
67,SW1,CV,B,1,20191019,SW
68,SW1,CV,B,2,20191019,SW
69,SW1,CV,B,3,20191019,SW
70,SW1,SH,B,1,20191019,SW
71,SW1,SH,B,2,20191019,SW
72,SW1,SH,B,3,20191019,SW
73,SW2,CV,A,1,20191019,SW
74,SW2,CV,A,2,20191019,SW
75,SW2,CV,A,3,20191019,SW
76,SW2,SH,A,1,20191019,SW
