plate_id,letter,1,2,3,4,5,6,7,8,9,10,11,12
20210324_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,107,107,107,115,115,115,124,124,124
,B,0.005_M_std,0.005_M_std,0.005_M_std,108,108,108,116,116,116,125,125,125
,C,0.01_M_std,0.01_M_std,0.01_M_std,,,,117,117,117,126,126,126
,D,0.015_M_std,0.015_M_std,0.015_M_std,110,110,110,118,118,118,127,127,127
,E,0.02_M_std,0.02_M_std,0.02_M_std,111,111,111,119,119,119,128,128,128
,F,ddi_blank,ddi_blank,ddi_blank,112,112,112,120,120,120,129,129,129
,G,105,105,105,113,113,113,121,121,121,130,130,130
,H,106,106,106,114,114,114,123,123,123,,,
,,,,,,,,,,,,,
20210324_plate2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,133,133,133,141,141,141,149,149,149
,B,0.005_M_std,0.005_M_std,0.005_M_std,134,134,134,142,142,142,150,150,150
,C,0.01_M_std,0.01_M_std,0.01_M_std,135,135,135,143,143,143,151,151,151
,D,0.015_M_std,0.015_M_std,0.015_M_std,136,136,136,144,144,144,152,152,152
,E,0.02_M_std,0.02_M_std,0.02_M_std,137,137,137,145,145,145,153,153,153
,F,ddi_blank,ddi_blank,ddi_blank,138,138,138,146,146,146,154,154,154
,G,131,131,131,139,139,139,147,147,147,155,155,155
,H,132,132,132,140,140,140,148,148,148,156,156,156
,,,,,,,,,,,,,
20210331_plate1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,rgt_blank,rgt_blank,rgt_blank,159,159,159,167,167,167,175,175,175
,B,0.005_M_std,0.005_M_std,0.005_M_std,162,162,162,168,168,168,176,176,176
,C,0.01_M_std,0.01_M_std,0.01_M_std,160,160,160,169,169,169,177,177,177
,D,0.015_M_std,0.015_M_std,0.015_M_std,161,161,161,170,170,170,178,178,178
,E,0.02_M_std,0.02_M_std,0.02_M_std,163,163,163,171,171,171,179,179,179
,F,ddi_blank,ddi_blank,ddi_blank,164,164,164,172,172,172,,,
