weigh_date,sample_id,mass,run_date ,person
20210709,1,2.53,20210713,HB
20210709,2,2.5,20210713,HB
20210709,3,2.55,20210713,HB
20210709,4,2.51,20210713,HB
20210709,5,2.55,20210713,HB
20210709,6,2.48,20210713,HB
20210709,7,2.53,20210713,HB
20210709,8,2.49,20210713,HB
20210709,9,2.47,20210713,HB
20210713,soil_std,2.5,20210713,HB
20210709,10,2.52,20210713,HB
20210709,11,2.5,20210713,HB
20210709,12,2.52,20210713,HB
20210709,13,2.55,20210713,HB
20210709,14,2.47,20210713,HB
20210709,15,2.45,20210713,HB
20210709,16,2.51,20210713,HB
20210709,17,2.54,20210713,HB
20210709,18,2.55,20210713,HB
20210709,19,2.45,20210713,HB
20210709,20,2.53,20210713,HB
20210709,21,2.55,20210713,HB
20210709,22,2.46,20210713,HB
20210709,23,2.46,20210713,HB
20210709,24,2.54,20210713,HB
20210709,25,2.53,20210713,HB
20210709,26,2.46,20210713,HB
20210709,27,2.48,20210713,HB
20210709,28,2.55,20210713,HB
20210709,29,2.47,20210713,HB
20210709,30,2.48,20210713,HB
20210709,31,2.5,20210713,HB
20210709,32,2.47,20210713,HB
20210709,33,2.51,20210713,HB
20210709,34,2.48,20210713,HB
20210709,35,2.46,20210713,HB
20210709,36,2.52,20210713,HB
20210709,37,2.54,20210713,HB
20210709,38,2.55,20210713,HB
20210709,39,2.52,20210713,HB
20210709,40,2.5,20210713,HB
20210709,41,2.52,20210713,HB
20210709,42,2.48,20210713,HB
20210709,43,2.52,20210713,HB
20210709,44,2.47,20210713,HB
20210709,45,2.46,20210713,HB
20210709,46,2.51,20210713,HB
20210709,47,2.51,20210713,HB
20210709,48,2.49,20210713,HB
20210709,49,2.49,20210713,HB
20210709,50,2.49,20210722,HB
20210709,51,2.52,20210722,HB
20210709,52,2.45,20210722,HB
20210709,53,2.5,20210722,HB
20210709,54,2.52,20210722,HB
20210709,55,2.5,20210722,HB
20210709,56,2.48,20210722,HB
20210709,57,2.49,20210722,HB
20210722,soil_std,2.54,20210722,HB
20210709,58,2.51,20210722,HB
20210709,59,2.55,20210722,HB
20210709,60,2.51,20210722,HB
20210709,61,2.5,20210722,HB
20210709,62,2.52,20210722,HB
20210709,63,2.49,20210722,HB
20210709,64,2.52,20210722,HB
20210709,65,2.49,20210722,HB
20210709,66,2.47,20210722,HB
20210709,67,2.5,20210722,HB
20210709,68,2.48,20210722,HB
20210709,69,2.49,20210722,HB
20210709,70,2.49,20210722,HB
20210709,71,2.47,20210722,HB
20210709,72,2.54,20210722,HB
20210709,73,2.48,20210722,HB
20210709,74,2.51,20210723,HB
20210709,75,2.53,20210723,HB
20210709,76,2.53,20210723,HB
20210709,77,2.47,20210723,HB
20210709,78,2.46,20210723,HB
20210709,79,2.53,20210723,HB
20210709,80,2.54,20210723,HB
20210709,81,2.5,20210723,HB
20210709,82,2.55,20210723,HB
20210709,83,2.52,20210723,HB
20210709,84,2.55,20210723,HB
20210709,85,2.51,20210723,HB
20210709,86,2.5,20210723,HB
20210709,87,2.54,20210723,HB
20210709,88,2.47,20210723,HB
20210709,89,2.51,20210723,HB
20210709,90,2.5,20210723,HB
