abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.45100000000000001,0.45600000000000002,0.45400000000000001,0.27700000000000002,0.27800000000000002,0.27700000000000002,0.13,0.13200000000000001,0.13100000000000001,0.245,0.245,0.251
B,0.14000000000000001,0.14099999999999999,0.14000000000000001,0.26700000000000002,0.26700000000000002,0.26700000000000002,0.186,0.188,0.19,0.32900000000000001,0.33,0.32800000000000001
C,0.23699999999999999,0.23699999999999999,0.23799999999999999,0.188,0.189,0.191,0.151,0.154,0.153,0.317,0.316,0.32100000000000001
D,0.33500000000000002,0.33500000000000002,0.33700000000000002,0.191,0.192,0.193,0.122,0.124,0.125,0.29499999999999998,0.30099999999999999,0.29799999999999999
E,0.43099999999999999,0.435,0.42899999999999999,0.20399999999999999,0.20399999999999999,0.20200000000000001,0.106,0.107,0.104,0.20100000000000001,0.20100000000000001,0.20100000000000001
F,0.254,0.25600000000000001,0.254,0.16500000000000001,0.16300000000000001,0.16500000000000001,0.114,0.115,0.11799999999999999,0.23699999999999999,0.23699999999999999,0.23699999999999999
G,0.26700000000000002,0.26400000000000001,0.26900000000000002,0.13,0.13,0.129,0.26400000000000001,0.26200000000000001,0.26300000000000001,0.221,0.218,0.22
H,3.5000000000000003E-2,3.5999999999999997E-2,3.7999999999999999E-2,0.14000000000000001,0.13900000000000001,0.14000000000000001,0.25700000000000001,0.26,0.26300000000000001,0.253,0.252,0.255
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,rgt_blank,rgt_blank,rgt_blank,439,439,439,447,447,447,455,455,455
B,0.005_M_std,0.005_M_std,0.005_M_std,440,440,440,448,448,448,456,456,456
C,0.01_M_std,0.01_M_std,0.01_M_std,441,441,441,449,449,449,457,457,457
D,0.015_M_std,0.015_M_std,0.015_M_std,442,442,442,450,450,450,458,458,458
E,0.02_M_std,0.02_M_std,0.02_M_std,443,443,443,451,451,451,459,459,459
F,soil_std,soil_std,soil_std,444,444,444,452,452,452,460,460,460
G,438,438,438,445,445,445,453,453,453,461,461,461
H,ddi_blank,ddi_blank,ddi_blank,446,446,446,454,454,454,soil_std1,soil_std2,soil_std3
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
